TILT,TIME
1.395494,17641
1.395619,17655
1.395352,17670
1.395448,17684
1.395538,17699
1.395461,17713
1.395454,17727
1.395248,17742
1.394533,17756
1.394149,17771
1.394048,17785
1.394089,17799
1.394182,17814
1.394453,17828
1.394505,17843
1.394369,17857
1.392452,17871
1.391127,17886
1.388919,17900
1.38808,17915
1.38615,17929
1.382741,17943
1.37826,17958
1.373693,17972
1.367697,17987
1.361526,18001
1.355095,18015
1.350266,18030
1.346895,18044
1.344187,18059
1.340986,18073
1.340231,18087
1.342087,18102
1.34481,18116
1.348867,18131
1.353064,18145
1.357294,18159
1.360827,18174
1.363958,18188
1.366679,18203
1.368783,18217
1.370271,18231
1.370648,18246
1.369614,18260
1.367741,18275
1.365234,18289
1.361193,18303
1.357009,18318
1.352569,18332
1.347156,18347
1.341316,18361
1.335449,18375
1.33079,18390
1.326714,18404
1.321983,18419
1.31595,18433
1.309195,18447
1.302279,18462
1.294305,18476
1.283127,18491
1.270923,18505
1.252203,18519
1.232713,18534
1.2108,18548
1.183443,18563
1.153817,18577
1.119236,18591
1.083906,18606
1.045568,18620
1.001932,18635
0.96022,18649
0.913008,18663
0.866169,18678
0.818572,18692
0.773819,18707
0.727972,18721
0.677132,18735
0.629248,18750
0.579466,18764
0.530941,18779
0.482943,18793
0.432687,18808
0.391964,18822
0.349248,18836
0.312302,18851
0.278389,18865
0.242629,18880
0.211596,18894
0.181053,18908
0.154536,18923
0.128605,18937
0.102915,18952
0.080861,18966
0.059349,18980
0.041897,18995
0.027164,19009
0.01295,19024
0.00158,19038
-0.009775,19052
-0.016001,19067
-0.018729,19081
-0.019327,19096
-0.018031,19110
-0.015886,19124
-0.01422,19139
-0.012292,19153
-0.010197,19167
-0.00891,19182
-0.00828,19196
-0.008606,19211
-0.009812,19225
-0.011904,19239
-0.014813,19254
-0.018889,19268
-0.023373,19282
-0.028137,19297
-0.033081,19321
-0.038656,19336
-0.042891,19350
-0.045319,19364
-0.045544,19379
-0.044786,19393
-0.042538,19407
-0.039513,19422
-0.036696,19436
-0.034554,19450
-0.033233,19454
-0.032933,19469
-0.032867,19483
-0.032984,19497
-0.03381,19511
-0.035232,19526
-0.036737,19550
-0.038199,19565
-0.038885,19579
-0.038403,19593
-0.03805,19608
-0.038056,19622
-0.038785,19636
-0.039579,19651
-0.040377,19665
-0.040725,19679
-0.040767,19693
-0.040652,19708
-0.040032,19722
-0.039379,19736
-0.038919,19751
-0.038556,19765
-0.038024,19779
-0.0375,19793
-0.037348,19808
-0.037507,19822
-0.037765,19836
-0.037977,19851
-0.038109,19865
-0.038278,19879
-0.038455,19894
-0.038502,19908
-0.038144,19922
-0.037297,19937
-0.036099,19951
-0.034727,19965
-0.033312,19980
-0.031923,19994
-0.030708,20008
-0.029585,20023
-0.028674,20037
-0.027658,20051
-0.026489,20065
-0.025194,20080
-0.024056,20094
-0.02316,20108
-0.022236,20123
-0.021184,20137
-0.020206,20152
-0.018718,20166
-0.017674,20180
-0.017118,20194
-0.017091,20209
-0.018103,20223
-0.018078,20237
-0.017393,20252
-0.01758,20266
-0.017807,20280
-0.018077,20295
-0.018958,20309
-0.018953,20323
-0.01558,20338
-0.010054,20352
-0.006426,20366
-0.006636,20381
-0.007461,20395
-0.008501,20409
-0.00996,20424
-0.011033,20438
-0.012257,20452
-0.013575,20467
-0.015763,20481
-0.01939,20495
-0.024551,20510
-0.029189,20524
-0.033615,20538
-0.040159,20553
-0.045546,20567
-0.052501,20581
-0.060103,20596
-0.067556,20610
-0.076445,20625
-0.085634,20639
-0.0934,20653
-0.101125,20667
-0.106637,20682
-0.110243,20696
-0.113919,20711
-0.117101,20725
-0.120519,20739
-0.124435,20754
-0.125795,20768
-0.1267,20782
-0.127912,20797
-0.128146,20811
-0.127499,20825
-0.126128,20840
-0.123858,20854
-0.120492,20868
-0.115722,20883
-0.109439,20897
-0.102149,20911
-0.094377,20926
-0.087636,20940
-0.081383,20954
-0.076238,20969
-0.07106,20983
-0.065707,20998
-0.061721,21012
-0.059447,21026
-0.057549,21041
-0.056159,21055
-0.054967,21069
-0.053401,21084
-0.051556,21098
-0.049328,21112
-0.046738,21127
-0.044365,21141
-0.042576,21155
-0.040268,21170
-0.038313,21184
-0.036033,21198
-0.033228,21213
-0.031865,21227
-0.031327,21241
-0.031474,21256
-0.031695,21270
-0.031727,21284
-0.03173,21299
-0.031485,21313
-0.030763,21327
-0.029589,21342
-0.028399,21356
-0.026997,21371
-0.025289,21385
-0.02323,21399
-0.021273,21414
-0.019617,21428
-0.018122,21442
-0.016174,21457
-0.01362,21471
-0.0111,21485
-0.008437,21500
-0.006158,21514
-0.003805,21528
-0.001939,21543
-0.000449,21557
0.000424,21571
0.0001,21586
0.000236,21600
0.000392,21614
-9.9e-05,21629
-0.000792,21643
-0.001205,21657
-0.001059,21672
-0.00104,21686
-0.001986,21700
-0.002996,21715
-0.004116,21729
-0.004716,21743
-0.004454,21758
-0.003829,21772
-0.003677,21786
-0.003727,21801
-0.003722,21815
-0.004491,21829
-0.006007,21844
-0.007516,21858
-0.008551,21872
-0.009082,21887
-0.009336,21901
-0.009509,21915
-0.010227,21930
-0.010847,21944
-0.011242,21958
-0.011559,21973
-0.011635,21987
-0.011785,22001
-0.011988,22016
-0.012114,22030
-0.012694,22044
-0.013134,22059
-0.012612,22073
-0.012504,22087
-0.012088,22102
-0.012095,22116
-0.01271,22130
-0.013076,22145
-0.012814,22159
-0.012463,22173
-0.012499,22188
-0.012848,22202
-0.013007,22217
-0.01346,22231
-0.013578,22245
-0.013708,22259
-0.014154,22274
-0.014659,22288
-0.014662,22303
-0.014541,22317
-0.014376,22331
-0.014618,22346
-0.014931,22360
-0.015153,22374
-0.015428,22388
-0.015683,22403
-0.015923,22417
-0.016194,22431
-0.016245,22446
-0.016257,22460
-0.016079,22475
-0.015728,22489
-0.015503,22503
-0.01541,22518
-0.015323,22532
-0.015077,22546
-0.015001,22561
-0.014948,22575
-0.015128,22589
-0.015313,22604
-0.015547,22618
-0.015784,22632
-0.016107,22647
-0.016526,22661
-0.016938,22675
-0.017604,22690
-0.018091,22704
-0.018339,22719
-0.018153,22733
-0.017666,22747
-0.017087,22762
-0.017479,22776
-0.017979,22790
-0.018524,22805
-0.018609,22819
-0.018638,22833
-0.018835,22848
-0.019095,22862
-0.018749,22876
-0.017632,22891
-0.016541,22905
-0.015973,22919
-0.015916,22934
-0.016107,22948
-0.016345,22963
-0.016351,22977
-0.016215,22991
-0.016094,23006
-0.015893,23020
-0.015641,23034
-0.01539,23049
-0.015365,23063
-0.015448,23077
-0.015551,23092
-0.015559,23106
-0.015409,23120
-0.015303,23135
-0.015174,23149
-0.015094,23163
-0.014989,23178
-0.014894,23192
-0.014825,23206
-0.014632,23221
-0.014436,23235
-0.014247,23249
-0.014076,23264
-0.013897,23278
-0.013621,23292
-0.013602,23307
-0.013635,23321
-0.013614,23335
-0.013595,23350
-0.013729,23364
-0.013972,23378
-0.014254,23393
-0.014304,23407
-0.014106,23421
-0.013749,23436
-0.013423,23450
-0.013116,23464
-0.012632,23479
-0.012139,23493
-0.011637,23507
-0.011155,23522
-0.01079,23536
-0.010438,23550
-0.010077,23565
-0.00991,23579
-0.009833,23593
-0.009807,23608
-0.009696,23622
-0.009787,23636
-0.009902,23651
-0.010206,23665
-0.01077,23679
-0.011419,23694
-0.011917,23708
-0.012425,23722
-0.012926,23737
-0.013424,23751
-0.013875,23765
-0.014388,23780
-0.014172,23794
-0.014263,23808
-0.014313,23823
